STATEFP,GEOID,NAME,LOGRADE,HIGRADE,Latitiude,Longitude,NCESIDn,BIA_School,BIA
33,3305550,Pelham School District,KG,12,42.7309924,-71.3370733,3305550,No School,
33,3305580,Pembroke School District,KG,12,43.1677223,-71.4385169,3305580,No School,
33,3305700,Pittsburg School District,KG,12,45.145326,-71.2548765,3305700,Contains non-reservation school,
33,3305730,Pittsfield School District,PK,12,43.2885012,-71.3093678,3305730,Contains non-reservation school,
33,3305820,Portsmouth School District,PK,12,43.0605947,-70.7803481,3305820,Contains non-reservation school,
33,3305880,Raymond School District,KG,12,43.032583,-71.2031436,3305880,No School,
33,3305940,Rochester School District,PK,12,43.2984927,-70.9770055,3305940,Contains non-reservation school,
33,3306060,Salem School District,KG,12,42.7882642,-71.2217257,3306060,Contains non-reservation school,
33,3306080,Sanborn Regional School District,KG,12,42.8995555,-71.0643609,3306080,Contains non-reservation school,
33,3306180,Shaker Regional School District,KG,12,43.479031,-71.4493,3306180,Contains non-reservation school,
33,3306240,Somersworth School District,PK,12,43.2534762,-70.8879437,3306240,Contains non-reservation school,
33,3306540,Sunapee School District,KG,12,43.3900882,-72.0931293,3306540,No School,
33,3306720,Timberlane Regional School District,PK,12,42.9255926,-71.1820883,3306720,Contains non-reservation school,
33,3307050,White Mountain Regional School District,PK,12,44.3794446,-71.5398201,3307050,No School,
33,3307115,Wilton-Lyndeborough School District,KG,12,42.8695022,-71.77415,3307115,Contains non-reservation school,
33,3307170,Windham School District,KG,12,42.8110921,-71.3026878,3307170,Contains non-reservation school,
33,3307200,Windsor School District,KG,12,43.1130444,-72.0136387,3307200,No School,
33,3307300,Winnisquam Regional School District,PK,12,43.4959639,-71.5977111,3307300,Contains non-reservation school,
33,3333009,Rivendell Interstate School District,KG,12,43.8832271,-72.0335833,3333009,Contains non-reservation school,
33,3399997,School District Not Defined,PK,12,44.3360917,-71.3019427,3399997,No School,
41,4100003,Falls City School District 57,KG,12,44.8317294,-123.6091855,4100003,Intersects Reservation,
41,4100014,Vale School District 84,KG,12,44.1197475,-117.4294416,4100014,No School,
41,4100015,Gervais School District 1,KG,12,45.08048,-122.9424527,4100015,No School,
41,4100016,Yamhill-Carlton School District 1,KG,12,45.3575371,-123.277704,4100016,Contains non-reservation school,
41,4100019,Harrisburg School District 7J,KG,12,44.265655,-123.0645537,4100019,Contains non-reservation school,
41,4100020,North Santiam School District 29J,KG,12,44.7975498,-122.6577043,4100020,Contains non-reservation school,
41,4100021,South Wasco County School District 1,KG,12,45.0949853,-121.1065816,4100021,Contains non-reservation school,
41,4100023,Hillsboro School District 1J,KG,12,45.5572882,-122.9834986,4100023,Contains non-reservation school,
41,4100040,Knappa School District 4,KG,12,46.1974532,-123.5767604,4100040,Contains non-reservation school,
41,4100047,Ione School District 2,KG,12,45.4909288,-119.8832708,4100047,No School,
41,4100048,North Wasco School District 21,KG,12,45.584959,-121.3145194,4100048,Contains non-reservation school,
41,4100640,Myrtle Point School District 41,KG,12,43.0616831,-123.9827615,4100640,Intersects Reservation,
41,4100990,Adel School District 21,KG,12,42.1230789,-119.7166502,4100990,Contains non-reservation school,
41,4101020,Adrian School District 61,KG,12,43.6332381,-117.1412385,4101020,No School,
41,4101120,Greater Albany School District 8J,KG,12,44.6183531,-123.0802616,4101120,Contains non-reservation school,
41,4101200,Alsea School District 7J,KG,12,44.3649961,-123.6231522,4101200,Contains non-reservation school,
41,4101230,Amity School District 4J,KG,12,45.0930097,-123.1905627,4101230,Contains non-reservation school,
41,4101350,Annex School District 29,KG,12,44.2066333,-117.2089895,4101350,Contains non-reservation school,
41,4101470,Arlington School District 3,KG,12,45.6303392,-120.2190308,4101470,Contains non-reservation school,
41,4101500,Arock School District 81,KG,12,43.0501681,-117.8428014,4101500,No School,
41,4101560,Ashland School District 5,KG,12,42.182373,-122.5771135,4101560,Contains non-reservation school,
41,4101590,Ashwood School District 8,KG,12,44.6613371,-120.614046,4101590,No School,
41,4101620,Astoria School District 1,KG,12,46.1068247,-123.7510373,4101620,No School,
41,4101660,Athena-Weston School District 29J,KG,12,45.745319,-118.3598234,4101660,Contains non-reservation school,
41,4101710,Baker School District 5J,KG,12,44.7823978,-117.7502692,4101710,Contains non-reservation school,
41,4101740,Burnt River School District 30J,KG,12,44.4262234,-118.0512644,4101740,No School,
41,4101800,Bandon School District 54,KG,12,43.1316531,-124.3899914,4101800,Contains non-reservation school,
41,4101830,Banks School District 13,KG,12,45.6866806,-123.1934306,4101830,No School,
41,4101920,Beaverton School District 48J,KG,12,45.4957301,-122.8255214,4101920,Contains non-reservation school,
41,4101980,Bend-La Pine Administrative School District 1,KG,12,43.8360961,-121.4163631,4101980,Contains non-reservation school,
41,4102040,Bethel School District 52,KG,12,44.0921711,-123.2040744,4102040,Contains non-reservation school,
